title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Kamikaze Kaitou Jeanne,44.0,7.47,1999,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Drama', 'Romance', 'Supernatural']",['Toei Animation'],24.0
Kannazuki no Miko,12.0,6.8,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Girls Love', 'Supernatural']",['TNK'],24.0
Kanon,13.0,7.06,2002,TV,Finished Airing,G - All Ages,24 min per ep,"['Drama', 'Romance', 'Supernatural']",['Toei Animation'],24.0
Kareshi Kanojo no Jijou,26.0,7.6,1998,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Romance']","['Gainax', 'J.C.Staff']",24.0
Kono Minikuku mo Utsukushii Sekai,12.0,6.69,2004,TV,Finished Airing,R+ - Mild Nudity,24 min per ep,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']","['Gainax', 'Shaft']",24.0
Kimi ga Nozomu Eien,14.0,7.16,2003,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Drama', 'Romance']",['Studio Fantasia'],23.0
Kita e.: Diamond Dust Drops,12.0,6.59,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance']",['Studio Deen'],24.0
Loveless,12.0,6.7,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Boys Love', 'Drama', 'Mystery', 'Supernatural']",['J.C.Staff'],24.0
Blood+,50.0,7.6,2005,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']",['Production I.G'],23.0
Re: Cutie Honey,3.0,7.15,0,OVA,Finished Airing,R+ - Mild Nudity,45 min per ep,"['Action', 'Comedy', 'Girls Love', 'Sci-Fi', 'Ecchi']","['Gainax', 'Toei Animation']",45.0
Solty Rei,24.0,7.26,2005,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Sci-Fi']","['Gonzo', 'AIC']",23.0
Juuni Kokuki,45.0,8.01,2002,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Adventure', 'Fantasy']",['Studio Pierrot'],25.0
Shaman King,64.0,7.73,2001,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Supernatural']",['Xebec'],23.0
X/1999,1.0,6.57,0,Movie,Finished Airing,R+ - Mild Nudity,1 hr 37 min,"['Action', 'Drama', 'Fantasy', 'Mystery']",['Madhouse'],1.0
X,24.0,7.38,2001,TV,Finished Airing,R+ - Mild Nudity,24 min per ep,"['Action', 'Drama', 'Fantasy', 'Mystery']",['Madhouse'],24.0
Mahou Sensei Negima!,26.0,6.92,2005,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",['Xebec'],23.0
Maria-sama ga Miteru,13.0,7.28,2004,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Drama', 'Girls Love']",['Studio Deen'],23.0
Boukyaku no Senritsu,24.0,6.28,2004,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",['J.C.Staff'],23.0
"Ima, Soko ni Iru Boku",13.0,7.57,1999,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['AIC'],24.0
Peace Maker Kurogane,24.0,7.29,2003,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,['Action'],['Gonzo'],24.0
Pita Ten,26.0,6.93,2002,TV,Finished Airing,G - All Ages,24 min per ep,"['Comedy', 'Fantasy', 'Romance']",['Madhouse'],24.0
